"site","mean_comp_B","sd_comp_B","count_comp","count_comp_presnt","mean_cons_B","sd_cons_B","mean_DD_B","sd_DD_B","cons_present","network_ID","site_designation","site_status","Island","Side","pred_B_3root","prey_B_3root","DD_B_3root"
"ANACAPA_EAST_ISLE_CEN",0.101227440609673,0.247716671838138,4,2,-0.553036061905918,0.678574483394585,-2.28762420478499,4.96651332298077,TRUE,30,"SMR","MPA","Anacapa","North",-0.820826086947182,0.466050257385583,-1.31763430821357
"ANACAPA_EAST_ISLE_CEN",-0.00887338999821775,0.851192505168484,8,6,-0.151289966144622,0.214683066155715,0.160597788394735,0.945389304771042,TRUE,26,"SMR","MPA","Anacapa","North",-0.532848043190487,-0.207028367044606,0.543558786111054
"ANACAPA_EAST_ISLE_CEN",0.170219987691877,0.729937265146821,5,3,0.246434911494348,0.358233643931188,-3.62942460822565,9.83644331862688,TRUE,23,"SMR","MPA","Anacapa","North",0.626951690246308,0.55420467495891,-1.53678316094712
"ANACAPA_EAST_ISLE_CEN",-0.116234445136794,0.192380431723909,3,2,0.120956177314178,0.288267064087733,0.517637288300466,0.591966512009528,TRUE,20,"SMR","MPA","Anacapa","North",0.494549026140768,-0.488028234974988,0.802925377326857
"ANACAPA_EAST_ISLE_CEN",0.161639115046162,0.376837087080519,3,2,0.297013937398464,0.439462876806728,0.147989625092738,0.756570057630642,TRUE,17,"SMR","MPA","Anacapa","North",0.667204463538421,0.544731079679548,0.528944886885128
"ANACAPA_EAST_ISLE_CEN",0.073885242901135,0.151786091673123,3,2,-0.465685970926527,2.37007829142169,-7.58127360536639,11.2984423685939,TRUE,2,"SMR","MPA","Anacapa","North",-0.775111865046448,0.419616511068015,-1.96447899784394
"ANACAPA_EAST_ISLE_CEN",0.0283044961412334,0.833609483774582,25,13,-0.0658280884062498,0.372126604747752,-0.551906444853137,2.470993466061,TRUE,27,"SMR","MPA","Anacapa","North",-0.403772820201152,0.304755680507477,-0.820266840012542
"ANACAPA_EAST_ISLE_CEN",0.602484270187136,1.34801039725541,3,3,0.658041653832787,0.992762893792906,-0.0351844639885865,0.160532759822484,TRUE,22,"SMR","MPA","Anacapa","North",0.86979677898946,0.844595126085215,-0.327680285294138
"ANACAPA_EAST_ISLE_CEN",-0.0648475039675782,0.221894723365697,3,2,0.123121267188931,0.156377156860714,-0.138891696447734,0.772247545582984,TRUE,11,"SMR","MPA","Anacapa","North",0.49748236724648,-0.401757896448786,-0.517875573797373
"ANACAPA_EAST_ISLE_CEN",0.241470321410034,0.783918727600597,5,4,0.610576489840814,0.573119154057788,0.017725757824299,0.777148087442389,TRUE,5,"SMR","MPA","Anacapa","North",0.848359692364909,0.622712982425227,0.26073636333761
"ANACAPA_EAST_ISLE_CEN",0,0,2,1,0.881598215272155,1.2467681526018,0.464944908134554,1.00215026952121,TRUE,36,"SMR","MPA","Anacapa","North",0.95886375089717,0,0.774700492319191
"ANACAPA_EAST_ISLE_CEN",0.000215772540962602,0.498566109865541,11,6,-0.0367620834565843,0.217365028048601,0.435680514890861,0.736149373213217,TRUE,43,"SMR","MPA","Anacapa","North",-0.332506422945885,0.0599789315809132,0.758093394327455
"ANACAPA_EAST_ISLE_CEN",0.196227676731071,0.309844423047739,3,2,2.18970012462536,3.42128263621349,-3.42325552911168,5.12297225214216,TRUE,18,"SMR","MPA","Anacapa","North",1.29855858474877,0.581103405599342,-1.50711516354333
"ANACAPA_EAST_ISLE_CEN",0.0315992904520914,0.112515556178492,3,2,-0.200238573799547,0.439404914605865,-5.62605583132212,12.1342017366307,TRUE,12,"SMR","MPA","Anacapa","North",-0.585035986584571,0.316149459462308,-1.77855791874615
"ANACAPA_EAST_ISLE_CEN",0.0505057099054637,0.366504566994289,5,3,0.257418792553012,0.452693163858848,0.324973284498447,0.755618835194295,TRUE,46,"SMR","MPA","Anacapa","North",0.636131277498166,0.36964101998964,0.687515594223699
"ANACAPA_EAST_ISLE_CEN",0,0,4,1,-0.142706625061253,0.285413250122506,0.696246163184127,0.415949356742443,TRUE,37,"SMR","MPA","Anacapa","North",-0.52257429717956,0,0.886313991026698
"ANACAPA_EAST_ISLE_CEN",-0.273383891505744,0.309377502604056,2,2,0.721349938332795,0.0466943702962301,-0.0822431258424647,0.996478070055344,TRUE,15,"SMR","MPA","Anacapa","North",0.896840749602693,-0.649019342924375,-0.434877097163264
"ANACAPA_EAST_ISLE_CEN",0.100122860284872,0.373562417806057,4,3,0.188147872509436,0.251805255453691,-0.00490764816741525,0.629708382684452,TRUE,16,"SMR","MPA","Anacapa","North",0.573015589131308,0.46434889454187,-0.169938249399666
"ANACAPA_EAST_ISLE_E",-0.0374413718818878,0.134301812829206,4,2,0.265485347687688,0.321684543055875,0.437048314839789,0.664561222735993,TRUE,30,"SMR","MPA","Anacapa","North",0.642707723666807,-0.334541950306443,0.758885899261308
"ANACAPA_EAST_ISLE_E",-0.23845435929899,0.384169623944607,3,2,0.0664001915484287,0.378738890859429,0.16443249802221,0.558400760059481,TRUE,20,"SMR","MPA","Anacapa","North",0.404939159785181,-0.620109553394082,0.547851117072921
"ANACAPA_EAST_ISLE_E",-0.0316443037719145,0.625593971730907,3,3,0.000709158790736112,1.07568821444075,-0.0987774207648681,0.323877241274093,TRUE,22,"SMR","MPA","Anacapa","North",0.089175967585805,-0.31629950697421,-0.462259551883197
