"Island","site_status","network_ID","mean_comp_B","sd_comp_B","count_comp","count_comp_presnt","mean_cons_B","sd_cons_B","mean_DD_B","sd_DD_B","pred_B_3root","prey_B_3root","DD_B_3root"
"Anacapa","MPA","11",-0.517298818061593,0.693107733893533,3,3,0.0821348216775827,0.17478768089881,0.182576662595798,0.299438053808866,0.434686119943641,-0.802750334811117,0.567303010253641
"Anacapa","MPA","12",-0.231727620739513,0.704618071811897,3,3,0.00421034842710823,0.350236457930172,-0.149896801164102,0.464663589975554,0.161475267416914,-0.614222801029739,-0.531207406495195
"Anacapa","MPA","14",0.00662378546804459,0.138524718810198,18,14,-0.022508902733341,0.304482385241065,0.694225283483771,0.412953991119201,-0.282348038389222,0.187802809955342,0.885455640541407
"Anacapa","MPA","15",-0.670930710434563,0.719016918259275,2,2,0.698476783822404,0.832863707966588,-0.0509764204899423,0.973647323190104,0.887259500823997,-0.875439000579482,-0.370785815856862
"Anacapa","MPA","16",-0.208537080933877,0.625657388801606,4,4,0.150251659330551,0.638009030088623,0.0910458623669389,0.315652087018967,0.531626260731498,-0.593008743375618,0.449869694562662
"Anacapa","MPA","17",0.017989926150082,0.153754484014532,3,3,-0.467660993655382,0.186370966696524,-0.0523087164285405,0.784972962050875,-0.77620609631471,0.26202523963907,-0.373988304581848
"Anacapa","MPA","18",-0.011443991228553,0.44717392874838,3,2,0.0497734730176814,0.329945172062305,0.250543157927755,0.837722110183242,0.367845952521282,-0.225350835244421,0.63041641901443
"Anacapa","MPA","19",-0.00341172128447899,0.212952468817645,10,4,-0.0411427134279533,0.112806437325321,0.650945773117293,0.482898936278324,-0.345221347637093,-0.150542057825175,0.866659037969781
"Anacapa","MPA","2",-0.0590595377475817,0.175579222785992,3,2,-0.130103404937255,0.112714793707673,0.166097885605356,0.74808750072954,-0.50671398129366,-0.389430546851376,0.549694470092354
"Anacapa","MPA","20",-0.141060764823099,0.269390975790858,3,2,-0.101127588805024,0.479799768180586,0.394955842196998,0.496808734282987,-0.465896968025331,-0.520557544027919,0.733696049659789
"Anacapa","MPA","22",-0.012386211424655,0.705783585115628,3,3,-0.0867158953898027,0.278641590881572,0.0931885942453305,0.613915764843768,-0.44262190628036,-0.231373080929803,0.453371539253083
"Anacapa","MPA","23",-0.0695947791646742,0.556442655103023,5,4,0.0853077651392623,0.530970304308858,0.238239299951992,0.694506682030021,0.44021299112863,-0.411331737787814,0.619923074007714
"Anacapa","MPA","26",-0.00560097455810982,0.636902639907449,8,6,-0.466878095747013,0.938184527158883,-0.729854826791154,2.08977020162679,-0.775772712903213,-0.177591101108688,-0.900351643162471
"Anacapa","MPA","27",0.0037273315322164,0.464374070730649,25,17,-0.0435769827785554,0.221683406214069,0.435269417011829,0.541015006522005,-0.351899826163305,0.155047942605713,0.757854879598329
"Anacapa","MPA","30",-0.0452126680846811,0.34685634996359,4,3,-0.21083219583975,0.542773878913377,0.192849899949161,0.778664934625566,-0.595176320260527,-0.356248774282008,0.577749802862791
"Anacapa","MPA","32",-0.166429542667753,0.479577449240908,2,2,0.316433213367878,0.738639098752124,0.085636286803459,0.60508763168782,0.681439578084625,-0.550060095546669,0.440777356542526
"Anacapa","MPA","36",0,0,2,1,-0.134674579478757,0.190458616805752,0.471887793914404,0.777302308260459,-0.512580258829383,0,0.778537580843045
"Anacapa","MPA","37",-0.0496916866249506,0.236622863147923,4,3,-0.026547054871876,0.272358504519473,0.242474813742072,0.534959641196378,-0.29831295617863,-0.367644363971278,0.623575262390837
"Anacapa","MPA","4",-0.0146251724816088,0.49560820051228,6,5,-0.333258972928019,0.33003977176256,-0.389106477056552,1.41270712482506,-0.693309711890849,-0.244549623692523,-0.730055964344329
"Anacapa","MPA","40",-0.0325064780127158,0.108583680591617,4,2,0.0264500285033146,0.0678271872231544,0.763895917734396,0.255371695383982,0.297949079566245,-0.319146416582605,0.91413722916832
"Anacapa","MPA","41",-0.0436697510793659,0.330991649879877,5,3,-0.0356855475004868,0.269188773756254,0.352646458634685,0.744121873882468,-0.32922852383204,-0.352149361650505,0.706501642153093
"Anacapa","MPA","43",-0.00669502412947714,1.13027678912559,11,9,0.302228837952862,0.638554530791653,-1.48109564517838,2.66159602208274,0.671086703061725,-0.188473682244687,-1.13988499023872
"Anacapa","MPA","45",-0.236578457805602,0.898750074856172,7,6,-0.889903022563531,1.22365237068846,0.102717581677853,0.93147182356312,-0.961865233030507,-0.618479152955621,0.468325992339831
