"consumer_ID","network_ID"
"APLCAL",2
"CENCOR",5
"GNIG",11
"HALRUF",13
"HRUB",16
"HSEM",17
"LOXGRA",19
"MEGUND",22
"MESFRAAD",23
"OELO",24
"PANINT",26
"PCLA",27
"PISGIG",30
"PYCHEL",34
"SATR",37
"SCAU",39
"SCHR",40
"SPUL",43
"STRE",45
"STRPURAD",46
